YEAR;COUNTRY_ID;RATE;UPDATE_STATUS;UPDATE_TIME
1979;BE;91.36;FINAL;
1979;DK;47.82;FINAL;
1979;DE;65.73;FINAL;
1979;IE;63.61;FINAL;
1979;FR;60.71;FINAL;
1979;IT;85.65;FINAL;
1979;LU;88.91;FINAL;
1979;NL;58.12;FINAL;
1979;UK;32.35;FINAL;
1981;EL;81.48;FINAL;
1984;BE;92.09;FINAL;
1984;DK;52.38;FINAL;
1984;DE;56.76;FINAL;
1984;IE;47.56;FINAL;
1984;FR;56.72;FINAL;
1984;IT;82.47;FINAL;
1984;LU;88.79;FINAL;
1984;NL;50.88;FINAL;
1984;UK;32.57;FINAL;
1984;EL;80.59;FINAL;
1987;ES;68.52;FINAL;
1987;PT;72.42;FINAL;
1989;BE;90.73;FINAL;
1989;DK;46.17;FINAL;
1989;DE;62.28;FINAL;
1989;IE;68.28;FINAL;
1989;FR;48.8;FINAL;
1989;IT;81.07;FINAL;
1989;LU;87.39;FINAL;
1989;NL;47.48;FINAL;
1989;UK;36.37;FINAL;
1989;EL;80.03;FINAL;
1989;ES;54.71;FINAL;
1989;PT;51.1;FINAL;
1994;BE;90.66;FINAL;
1994;DK;52.92;FINAL;
1994;DE;60.02;FINAL;
1994;IE;43.98;FINAL;
1994;FR;52.71;FINAL;
1994;IT;73.6;FINAL;
1994;LU;88.55;FINAL;
1994;NL;35.69;FINAL;
1994;UK;36.43;FINAL;
1994;EL;73.18;FINAL;
1994;ES;59.14;FINAL;
1994;PT;35.54;FINAL;
1995;SE;41.63;FINAL;
1996;AT;67.73;FINAL;
1996;FI;57.6;FINAL;
1999;BE;91.05;FINAL;
1999;DK;50.46;FINAL;
1999;DE;45.19;FINAL;
1999;IE;50.21;FINAL;
1999;FR;46.76;FINAL;
1999;IT;69.76;FINAL;
1999;LU;87.27;FINAL;
1999;NL;30.02;FINAL;
1999;UK;24.0;FINAL;
1999;EL;70.25;FINAL;
1999;ES;63.05;FINAL;
1999;PT;39.93;FINAL;
1999;SE;38.84;FINAL;
1999;AT;49.4;FINAL;
1999;FI;30.14;FINAL;
2004;BE;90.81;FINAL;
2004;DK;47.89;FINAL;
2004;DE;43.0;FINAL;
2004;IE;58.58;FINAL;
2004;FR;42.76;FINAL;
2004;IT;71.72;FINAL;
2004;LU;91.35;FINAL;
2004;NL;39.26;FINAL;
2004;UK;38.52;FINAL;
2004;EL;63.22;FINAL;
2004;ES;45.14;FINAL;
2004;PT;38.6;FINAL;
2004;SE;37.85;FINAL;
2004;AT;42.43;FINAL;
2004;FI;39.43;FINAL;
2004;CZ;28.3;FINAL;
2004;EE;26.83;FINAL;
2004;CY;72.5;FINAL;
2004;LT;48.38;FINAL;
2004;LV;41.34;FINAL;
2004;HU;38.5;FINAL;
2004;MT;82.39;FINAL;
2004;PL;20.87;FINAL;
2004;SI;28.35;FINAL;
2004;SK;16.97;FINAL;
2007;BG;29.22;FINAL;
2007;RO;29.47;FINAL;
2009;BE;90.39;FINAL;
2009;DK;59.54;FINAL;
2009;DE;43.27;FINAL;
2009;IE;58.64;FINAL;
2009;FR;40.63;FINAL;
2009;IT;66.47;FINAL;
2009;LU;90.76;FINAL;
2009;NL;36.75;FINAL;
2009;UK;34.7;FINAL;
2009;EL;52.54;FINAL;
2009;ES;44.87;FINAL;
2009;PT;36.77;FINAL;
2009;SE;45.53;FINAL;
2009;AT;45.97;FINAL;
2009;FI;38.6;FINAL;
2009;CZ;28.22;FINAL;
2009;EE;43.9;FINAL;
2009;CY;59.4;FINAL;
2009;LT;20.98;FINAL;
2009;LV;53.7;FINAL;
2009;HU;36.31;FINAL;
2009;MT;78.79;FINAL;
2009;PL;24.53;FINAL;
2009;SI;28.37;FINAL;
2009;SK;19.64;FINAL;
2009;BG;38.99;FINAL;
2009;RO;27.67;FINAL;
2013;HR;20.84;FINAL;
2014;BE;89.64;FINAL;
2014;DK;56.32;FINAL;
2014;DE;48.1;FINAL;
2014;IE;52.44;FINAL;
2014;FR;42.43;FINAL;
2014;IT;57.22;FINAL;
2014;LU;85.55;FINAL;
2014;NL;37.32;FINAL;
2014;UK;35.6;FINAL;
2014;EL;59.97;FINAL;
2014;ES;43.81;FINAL;
2014;PT;33.67;FINAL;
2014;SE;51.07;FINAL;
2014;AT;45.39;FINAL;
2014;FI;39.1;FINAL;
2014;CZ;18.2;FINAL;
2014;EE;36.52;FINAL;
2014;CY;43.97;FINAL;
2014;LT;47.35;FINAL;
2014;LV;30.24;FINAL;
2014;HU;28.97;FINAL;
2014;MT;74.8;FINAL;
2014;PL;23.83;FINAL;
2014;SI;24.55;FINAL;
2014;SK;13.05;FINAL;
2014;BG;35.84;FINAL;
2014;RO;32.44;FINAL;
2014;HR;25.24;FINAL;
2019;BE;88.47;PROVISIONAL;2019-05-27 10:18
2019;BG;32.64;FINAL;2019-06-03 11:52
2019;CZ;28.72;FINAL;2019-05-27 01:28
2019;DK;66.0;FINAL;2019-05-28 14:38
2019;DE;61.41;FINAL;2019-05-27 10:18
2019;EE;37.6;FINAL;2019-05-27 01:28
2019;IE;49.7;FINAL;2019-05-28 14:38
2019;EL;58.76;FINAL;2019-06-03 11:52
2019;ES;64.3;PROVISIONAL;2019-05-27 10:18
2019;FR;50.12;FINAL;2019-05-27 10:18
2019;IT;54.5;PROVISIONAL;2019-05-27 10:18
2019;CY;44.99;FINAL;2019-05-27 01:28
2019;LV;33.53;FINAL;2019-06-04 15:48
2019;LT;53.48;PROVISIONAL;2019-06-03 11:52
2019;LU;84.1;FINAL;2019-05-27 01:28
2019;HU;43.36;PROVISIONAL;2019-05-26 23:51
2019;MT;72.7;FINAL;2019-05-27 10:18
2019;NL;41.93;FINAL;2019-06-06 12:05
2019;AT;59.8;FINAL;2019-05-28 14:38
2019;PL;45.68;FINAL;2019-05-27 15:05
2019;PT;30.73;FINAL;2019-06-03 11:52
2019;RO;51.07;FINAL;2019-06-03 11:52
2019;SI;28.89;FINAL;2019-06-04 15:48
2019;SK;22.74;FINAL;2019-05-27 01:28
2019;FI;40.7;FINAL;2019-05-26 22:51
2019;SE;55.27;FINAL;2019-06-03 11:52
2019;UK;36.9;FINAL;2019-05-28 14:38
2019;HR;29.86;PROVISIONAL;2019-05-27 10:39
